Type,Title,Legacy ID,Detail,
ARCH,ZBPro Independent of Wi-Fi,ZBS01-23886,The use of Wi-Fi shall be independent of the ZBPro product,"<table  style=width: 89.68%;margin-left: auto;margin-right: auto;empty-cells: show;>            <tbody>              <tr>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 285px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>Security Constraint<br>                  </span>                </th>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 426px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>Implementation<br>                  </span>                </th>              </tr>              <tr>                <td style=width: 285px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>The use of Wi-Fi shall be independent of the ZBPro product<br>                  </span>                </td>                <td style=width: 426px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>                    <span style=font-size: 10pt;line-height: 1.5;>                      <span id=polarion-comment:75></span>                    </span> <span style=font-size: 10pt;line-height: 1.5;>The use of Wi-Fi is independent of the ZBPro product and is out of the product scope as it pertains to the functionality and security posture of the ZBPro product.</span>                    <br>                    <br> <span style=font-size: 10pt;line-height: 1.5;>The ZBPro software will not connect to any wireless networks. There will be no capability built into the product for this functionality. ZBPro is hosted within runtime environments provided by AWS services. These services provide a capability to connect to a physical, wired network.</span>                    <br>                    <br> <span style=font-size: 10pt;line-height: 1.5;>The ZBPro software is not a portable device that would be able to connect to a wireless network. It is hosted within AWS and is only connected to AWS VPC&rsquo;s (private networks) managed by ZBeats administrators.</span>                    <br>                    <br> <span style=font-size: 10pt;line-height: 1.5;>ZBPro web application has a public IP address hosted on an AWS Application Load Balancer. Access to this endpoint is limited to restricted customer networks.</span>                    <br>                    <br> <span style=font-size: 10pt;line-height: 1.5;>Risk for this type of connection is covered in 08122022 Cybersecurity Threat Assessment Report by Harbor Labs.</span>                    <br>                  </span>                </td>              </tr>            </tbody>          </table>"
ARCH,ZBPro Remote Access Restrictions,ZBS01-23887,Remote access to ZBPro software shall be restricted,"<table  style=width: 80%;margin-left: auto;margin-right: auto;empty-cells: show;>            <tbody>              <tr>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 214pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>Security Constraint<br>                  </span>                </th>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 236pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>Implementation<br>                  </span>                </th>              </tr>              <tr>                <td style=width: 214pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>Remote access to ZBPro software shall be restricted.<br>                  </span>                </td>                <td style=width: 236pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>                    <span style=font-size: 10pt;line-height: 1.5;>                      <span id=polarion-comment:76></span>The ZBPro software is hosted in AWS accounts managed by ZBeats. It is remotely accessible by only a limited administrative team. This team has the required access to update and maintain the software. &nbsp;All administrative access and control is centrally managed in the hosting environments in AWS.</span>                    <br>                    <br> <span style=font-size: 10pt;line-height: 1.5;>Customers can access the web interface for the application, but only have access to execute specific actions based on their roles. There are no settings that affect the core functionality of the product that can be changed remotely through the product interface.</span>                    <br>                  </span>                </td>              </tr>            </tbody>          </table>"
ARCH,Securing Data in Transit System,ZBS01-22782,Data in the transit system shall be secured,"<span  style=font-size: 10pt;font-family: Arial;line-height: 1.5;>            <span id=polarion-comment:69></span>            <span id=polarion-comment:70></span>            <span id=polarion-comment:71></span>            <br>          </span> <table style=width: 80%;margin-left: auto;margin-right: auto;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 214pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>                    <span style=font-weight: bold;>                      <span id=polarion-comment:63></span>Security Constraint</span>                    <br>                  </span>                </th>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 236pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>                    <span style=font-weight: bold;>Implementation</span>                    <br>                  </span>                </th>              </tr>              <tr>                <td style=vertical-align: top;width: 214pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>Data in the transit system shall be secured<br>                  </span>                </td>                <td style=vertical-align: top;width: 236pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>First, the data in the transit from the ZBPro-UI (a user&rsquo;s web browser) and ZBPro-API (the backend server) is secured by the HTTPS with a valid SSL certificate. Second, the EFS system of the ZBPro-API file systems always encrypt the data at rest and in transit by enabling the TLS<span id=polarion-comment:36></span>.<br>                  </span>                </td>              </tr>            </tbody>          </table>"
ARCH,Principle of Least Privilege,ZBS01-22781,ZBPro shall ensure the principle of least privilege which means enforcing a minimum level of user rights that allow the user to perform the user's role,"<span  style=font-size: 10pt;font-family: Arial;line-height: 1.5;>            <br>          </span> <table style=width: 80%;margin-left: auto;margin-right: auto;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 215pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>                    <span style=font-weight: bold;>                      <span id=polarion-comment:64></span>Security&nbsp;Constraint</span>                    <br>                  </span>                </th>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 236pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>                    <span style=font-weight: bold;>Implementation</span>                    <br>                  </span>                </th>              </tr>              <tr>                <td style=vertical-align: top;width: 215pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>ZBPro shall ensure the principle of least privilege which means enforcing a minimum level of user rights that allow the user to perform the user's role<span id=polarion-comment:37></span>                    <br>                  </span>                </td>                <td style=vertical-align: top;width: 236pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>Each user is required to login with their credentials. The user's credentials are tied to their user role. Only tasks and features the user is expected to perform based on their role will be visible and accessible to the user. For API calls, the user will submit the API call with their token/credentials. The token/credentials will be checked to determine if they meet the privilege requirement for the API. If the token/credentials do not meet the privilege, then the API call is denied.&nbsp;<br>                  </span>                </td>              </tr>            </tbody>          </table>"
ARCH,Authenticating the Users,ZBS01-22780,ZBPro shall authenticate the users to ensure the system and data is accessed authorized users,"<span  style=font-size: 10pt;font-family: Arial;line-height: 1.5;>            <br>          </span> <table style=width: 80%;margin-left: auto;margin-right: auto;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 264px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>                    <span style=font-weight: bold;>Security Constraint</span>                    <br>                  </span>                </th>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 336px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>                    <span style=font-weight: bold;>Implementation</span>                    <br>                  </span>                </th>              </tr>              <tr>                <td style=vertical-align: top;width: 264px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>                    <span id=polarion-comment:65></span>ZBPro shall authenticate the users to ensure the system and data is accessed authorized users.<br>                  </span>                </td>                <td style=vertical-align: top;width: 336px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>First, each user must use password and MFA to access the ZBPro frontend web browsers. Also, a user role is placed to control the access of different user roles (such as HCP, technician, medical supervisor and admins). Second the ZBPro management users use the IAM management to control over access to AWS resources where ZBPro deploys. Both a strong password policy and an MFA (multi-factor access) are enforced. Data is only accessed to authorized users with required user roles.<br>                  </span>                </td>              </tr>            </tbody>          </table>"
ARCH,Protect the exposure of Patient Data,ZBS01-22778,ZBPro shall protect the exposure of patients' data and ensure the security and integrity of user-uploaded files,"<span  style=font-family: Arial;>            <br>          </span> <table style=width: 80%;margin-left: auto;margin-right: auto;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 213pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>                    <span style=font-weight: bold;>Security&nbsp;Constraint</span>                    <br>                  </span>                </th>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 237pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>                    <span style=font-weight: bold;>Implementation</span>                    <br>                  </span>                </th>              </tr>              <tr>                <td style=vertical-align: top;width: 213pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>                    <span id=polarion-comment:66></span>ZBPro shall protect the exposure of patients' data and ensure the security and integrity of user-uploaded files.&nbsp;<br>                  </span>                </td>                <td style=vertical-align: top;width: 237pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>The ZBPro uses the RDS and EFS services to persist the user data and data files including user-uploaded files. Each user-uploaded file passes integrity checks. RDS provides security to stored user data: it disables public access, encrypted at all times, available at multiple available zones, storage autoscaling, enabled deletion protection, running logs, automatic backups and central monitoring. EFS provides security to stored data files: it enables multiple availability zones, encryption for at-rest and in-transit, automatic backups and auto-scaling, and central monitoring.<br>                  </span>                </td>              </tr>            </tbody>          </table>"
ARCH,Protecting AWS Access,ZBS01-22787,The access to AWS where ZBPro is deployed shall be protected,"<span  style=font-family: Arial;>            <br>          </span> <table style=width: 80%;margin-left: auto;margin-right: auto;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 213pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>                    <span style=font-weight: bold;>                      <span id=polarion-comment:67></span>Security&nbsp;Constraint</span>                    <br>                  </span>                </th>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 237pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>                    <span style=font-weight: bold;>Implementation</span>                    <br>                  </span>                </th>              </tr>              <tr>                <td style=vertical-align: top;width: 213pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>The access to AWS where ZBPro is deployed shall be protected.<br>                  </span>                </td>                <td style=vertical-align: top;width: 237pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>ZBPro uses the IAM management to have full control over the AWS access: only authorized users can access to the AWS resources where ZBPro is deployed. Both a strong password policy (minimal length is 8, require at least one uppercase letter, one lowercase letter, one number and one non-alphanumeric character) and MFA (multi-factor access) are enforced. Meanwhile a role-based access policy is used to provide minimal authorization to management users to the ZBPro resources.<br>                  </span>                </td>              </tr>            </tbody>          </table>"
ARCH,S3 Credential Storage Restrictions,ZBS01-22786,S3 credentials shall not be stored in the config files as plain text,<span  style=font-family: Arial;>            <br>          </span> <table style=width: 80%;margin-left: auto;margin-right: auto;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 214pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>                    <span style=font-weight: bold;>                      <span id=polarion-comment:68></span>Security&nbsp;Constraint</span>                    <br>                  </span>                </th>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 236pt;height: 9pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>                    <span style=font-weight: bold;>Implementation</span>                    <br>                  </span>                </th>              </tr>              <tr>                <td style=vertical-align: top;width: 214pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>S3 credentials shall not be stored in the config files as plain text<br>                  </span>                </td>                <td style=vertical-align: top;width: 236pt;border: 1px solid #CCCCCC;border-top: 1px solid #CCCCCC;border-bottom: 1px solid #CCCCCC;border-right: 1px solid #CCCCCC;border-left: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>ZBPro did not use S3 credentials and uses password protections for all credentials including the RDS credentials.<span id=polarion-comment:42></span>                    <br>                  </span>                </td>              </tr>            </tbody>          </table>
ARCH,Persist the Data and User Files,ZBS01-22785,The system shall be able to persist the data and user files securely and reliably,"<span  style=font-family: Arial;>            <br>          </span> <table style=width: 90.61%;margin-left: auto;margin-right: auto;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 240px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>                    <span style=font-weight: bold;>                      <span id=polarion-comment:56></span>Persistence Constraint</span>                    <br>                  </span>                </th>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 488px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>                    <span style=font-weight: bold;>Implementation</span>                    <br>                  </span>                </th>              </tr>              <tr>                <td style=vertical-align: top;width: 240px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>The system shall be able to persist the data and user files securely and reliably<br>                  </span>                </td>                <td style=vertical-align: top;width: 488px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>The system uses the RDS and EFS to persist the data and user files. (1) RDS persists the user data (including name, address, etc.) and it disables public access, encrypted at all times, available at multiple available zones, storage autoscaling, enabled deletion protection, running logs, automatic backups and central monitoring. (2) EFS persists the data files (including the ECG data, annotations, etc.) and it enables multiple availability zones, encryption for at-rest and in-transit, automatic backups and auto-scaling, and central monitoring.<br>                  </span>                </td>              </tr>            </tbody>          </table>"
ARCH,Computing Power Management,ZBS01-22784,The system shall have the capability to increase or decrease computing power when required and shall be available 95% of the time,"<span  style=font-family: Arial;>            <br>          </span> <table style=width: 80%;margin-left: auto;margin-right: auto;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 241px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>                    <span style=font-weight: bold;>                      <span id=polarion-comment:57></span>Reliability/Availability (Failover)&nbsp;Constraint</span>                    <br>                  </span>                </th>                <th style=background-color: #F0F0F0;text-align: left;vertical-align: top;width: 359px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>                    <span style=font-weight: bold;>Implementation</span>                    <br>                  </span>                </th>              </tr>              <tr>                <td style=vertical-align: top;width: 241px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>The system shall have the capability to increase or decrease computing power when required and shall be available 95% of the time.&nbsp;<br>                  </span>                </td>                <td style=vertical-align: top;width: 359px;height: 9pt;border: 1px solid #CCCCCC;padding: 0pt;>                  <span style=font-family: Arial;>The ZBPro uses the EB environment that has automatically handled the auto-scaling of computing power (EC2 instances) when application workload changes. Meanwhile, we uses multiple availability zones (multi-AZ) settings to increases the availability.<br>                  </span>                </td>              </tr>            </tbody>          </table>"
ARCH,System Scaling,ZBS01-22779,The system shall be able to scale based on incoming traffic,"<table  class=polarion-Document-table id=polarion_wiki macro name=table;params=padding=0px|uid=1|width=86.37% style=width: 86.37%;margin-left: auto;margin-right: auto;border: 1px solid #CCCCCC;empty-cells: show;border-collapse: collapse;>            <tbody>              <tr>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 217px;height: 12px;border: 1px solid #CCCCCC;padding: 0px;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>                    <span id=polarion-comment:58></span>Performance&nbsp;Constraint</span>                </th>                <th style=font-weight: bold;background-color: #F0F0F0;text-align: left;vertical-align: top;width: 461px;height: 12px;border: 1px solid #CCCCCC;padding: 0px;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>Implementation</span>                </th>              </tr>              <tr>                <td style=text-align: left;vertical-align: top;width: 217px;height: 12px;border: 1px solid #CCCCCC;padding: 0px;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>The system shall be able to scale based on incoming traffic.</span>                </td>                <td style=text-align: left;vertical-align: top;width: 461px;height: 12px;border: 1px solid #CCCCCC;padding: 0px;>                  <span style=font-size: 10pt;font-family: Arial;line-height: 1.5;>To ensure consistent performance, the system shall scale horizontally when incoming traffic increases or decreases. The software must be designed to function in scenarios where each functional component can scale vertically (increase compute power to a single node) and/or horizontally (prevision additional nodes to distribute workload) by adding new instances of AWS EC2 or EBS or increasing resource allocation to existing instances.&nbsp;<span id=polarion-comment:87></span>                    <br>                    <br> In particular, the ZBPro uses the Application Load Balancer (ALB) to automatically distributes incoming traffic across multiple instances in multiple available zones. This balances the workloads. It also automatically increases or decreases the number of instances as the demand of incoming traffics increases or decreases. This ensures the performance of the software. It also monitors the health of instances: if an instance fails, it will add new instances to replace the failure nodes.</span>                </td>              </tr>            </tbody>          </table>"
